Dr Score,Place after Dr,XC Jump,XC Time,Total after XC,Place after XC,SJ Jump,SJ Time,Total after SJ,Final Place,Year,Division
34.4,16,0,0,34.4,12,0,,,RF,2018,A
31.1,8,E,,,E,,,,E,2018,A
32,15,0,0,32,9,0,,,RF,2017,A
30.8,5,20,,,RF,,,,RF,2017,A
33.3,15,20,,,TE,0,4,,TE,2016,A
33.8,16,E,,,E,,,,E,2016,A
41.3,24,0,6.8,,E,8,0,,E,2016,A
41.8,26,,,,W,,,,W,2016,A
31.3,12T,0,1.2,32.5,17T,,,,W,2017,H
33.8,23,40,,,R,,,,R,2017,H
32,7T,,,,W,,,,W,2016,H
34,16T,105,,,R,,,,R,2016,H
36,17,E,,,E,,,,E,2017,J
38.8,30T,0,,,RF,,,,RF,2017,J
39.8,34T,20,,,RF,,,,RF,2017,J
39.8,34T,60,,,RF,,,,RF,2017,J
37.5,20,0,2.4,39.9,18,0,,,E,2018,J
35.5,12T,20,,,RF,,,,RF,2018,J
39.3,26,0,,,RF,,,,RF,2018,J
43,30,,,,W,,,,W,2018,J
33.8,21,0,18.4,52.2,32,12,,,E,2016,J
29.8,9,E,,,E,,,,E,2016,J
30.8,11,20,,,RF,,,,RF,2016,J
35,24T,0,,,R,,,,R,2016,J
39.3,36,0,0,39.3,24,,,,W,2017,M
33,16,40,8.8,81.8,33,,,,W,2017,M
26.3,3,0,,,TE,,,,TE,2017,M
30,10T,0,,,TE,,,,TE,2017,M
34.8,23T,20,,,RF,,,,RF,2017,M
37.5,30T,20,,,R,,,,R,2017,M
27.8,2,40,,,R,,,,R,2016,M
34.8,23,E,,,E,,,,E,2016,M
35.5,26T,20,,,RF,,,,RF,2016,M
36.5,30,0,,,TE,0,0,,TE,2016,M
37.8,33T,0,,,RF,,,,RF,2016,M
30.8,8T,0,0,30.8,6T,,,,W,2017,R
25.5,1,E,,,E,,,,E,2017,R
34.3,19,E,,,E,,,,E,2017,R
36.8,20,20,,,RF,,,,RF,2017,R
33,24T,20,0,53,34,0,,,MR,2017,Y
30.8,16T,0,0,,TE,,,,TE,2017,Y
32,21,20,,,RF,,,,RF,2017,Y
33.8,28T,20,,,RF,,,,RF,2017,Y
39,40,,,,W,,,,W,2017,Y
26,1,E,,,E,,,,E,2016,Y
30,6T,0,,,RF,,,,RF,2016,Y
33.8,15,20,,,RF,,,,RF,2016,Y
38.8,26,E,,,E,,,,E,2016,Y
